bin,x3030Wm_lh_superiortemporal,x3032Wm_lh_frontalpole,x3034Wm_lh_transversetemporal,x4015Wm_rh_middletemporal,x4017Wm_rh_paracentral,x4029Wm_rh_superiorparietal,x4030Wm_rh_superiortemporal,x4033Wm_rh_temporalpole,x4034Wm_rh_transversetemporal,x4035Wm_rh_insula
0,0.993300988561648,1.00159660997921,0.9883441984087,0.987693466184629,0.979679322226429,0.991786253685523,0.982713676251435,0.98288262436574,0.957666823457568,0.990472204973025
1,1.00918781174215,1.01270723682145,1.03203347053202,0.997386733708224,0.995359302130815,0.994110611126187,0.995644945291713,1.00173977788142,0.998651477228986,0.99277705878776
2,1.00199818726824,1.07433171103664,1.01483056882877,0.992445659403523,0.985249812471992,1.00026473308391,0.997120258463552,0.987782791386135,1.02302036643628,0.999076980081377
3,1.00306968637051,0.999285200224218,0.998380312296652,1.00403497776547,1.00232494965862,1.013011059712,1.01404783770205,1.00617498489603,1.01301568788284,1.01199014338443
4,0.998914552581127,0.970792577014465,0.995428619076268,1.01254827257064,1.01497631135455,0.994439423162365,1.01272155961632,1.01279719225618,1.00901216392343,1.00103160942056
5,1.00357627045579,1.00632040352104,0.999084713788782,1.00363455067342,1.0028113397175,1.00079023565048,1.00916827765192,1.00998675117901,1.01352218514753,1.00353769717874
6,0.993313755767939,0.987328029001088,0.991361413705214,0.998924747276492,1.00754080940709,0.993747070386789,0.9979412109432,0.998328008413973,1.00102437350854,0.996310197032389
7,1.00382285123134,0.970361333512281,0.995747993241752,0.992619545966983,1.00022883450973,1.01779341075925,0.989873002149645,0.990532291034518,0.983590006528851,1.0074864099276
8,0.993268208304618,1.02959503943902,1.00451979983515,1.00951823558463,0.99178181956675,1.00171443176974,0.986176711729582,0.992252631021091,0.994153436114361,0.995588964783003
0,0.0235900723322007,0.123206645680487,0.0317863828958026,0.0268170414382323,0.0297723457774874,0.0229468849745107,0.0288017915242299,0.0429295800277081,0.0453392012269561,0.0213167711510274
1,0.0250687109700195,0.119130328727353,0.0295710276407902,0.0323011213154942,0.0455773494083794,0.0229278684284849,0.0219922531222957,0.0578970946694764,0.0443395342393384,0.0219192142523569
2,0.0151772245973968,0.110030088206018,0.0422089404630535,0.0215478792132111,0.0468522812837075,0.0241627819011892,0.0233254145750233,0.054404985900058,0.0321316543855002,0.029622521720224
3,0.0216528974437901,0.129461182965361,0.0301176650536886,0.0362046809672442,0.0484841694214832,0.0264186281223489,0.0383174195197016,0.0526034868148507,0.0491826032435436,0.0263263410487112
4,0.0237600917839645,0.0964660319886355,0.0293388296408567,0.0197729214067899,0.0333249162282168,0.0322586812999824,0.0177329870819674,0.0622697336741071,0.0480837113740495,0.0137146187186991
5,0.0232307181925613,0.147522100934215,0.0310664844851066,0.0263648229379014,0.0379343536017103,0.0240072939629946,0.0239110646686546,0.0686534280067414,0.0372710368121271,0.022108710619364
6,0.0240828109582828,0.106831318259608,0.0316733649754877,0.0244114179511936,0.0392562420153793,0.0291250489849429,0.0204248121506313,0.051870695687188,0.0405367497686257,0.0217892436118535
7,0.0178825150075318,0.126762035989619,0.0346523030624085,0.022782363698729,0.0368538133147891,0.041499776148299,0.0239534504056625,0.0688357262026296,0.0395891878560059,0.0214411221388559
8,0.0162368191397601,0.112782087788012,0.0249751992443341,0.023822513346832,0.0435046448240198,0.0249516680409036,0.0185316247508061,0.0609910586907304,0.0489610958164028,0.0227179642559807
