bin,x3030Wm_lh_superiortemporal,x3032Wm_lh_frontalpole,x3034Wm_lh_transversetemporal,x4015Wm_rh_middletemporal,x4017Wm_rh_paracentral,x4029Wm_rh_superiorparietal,x4030Wm_rh_superiortemporal,x4033Wm_rh_temporalpole,x4034Wm_rh_transversetemporal,x4035Wm_rh_insula
0,1.00181906055492,1.00191516810356,1.00266233804089,1.00422470756061,1.009588574701,0.997691238377062,1.00491898838788,1.00798693467648,1.0109314888423,1.0045739535036
1,1.00291865570417,1.01265694974453,0.998673275136257,1.00318687351532,1.00476476087749,1.00708542636537,1.003636382149,1.00243365068672,1.0046424245118,1.00422584171637
2,1.00372198857773,1.00360351974526,1.00158721270857,1.0038103001892,1.00547630267899,1.00167693460723,1.00635416593655,1.00779261073734,1.00483753259309,1.00605537932589
3,1.00290930667178,0.988380805585117,1.00430558834953,0.998408609416312,1.00148048294661,1.0039228279999,0.996181992648258,1.00328455990755,0.998486058142857,0.99759296254638
4,1.00053810587781,1.01285184528131,1.00345308680643,0.998287245937857,0.994423866492824,0.999930168544373,0.99747707148625,1.00593602165995,0.997662519097356,0.997169076311253
5,0.998415319275132,1.01038407661916,0.9972767542521,0.994957824769833,0.99630811312578,0.998027918216685,0.99580452450901,0.991122628727196,0.994080564754526,0.99753852554558
6,0.999625402375256,0.988144384101351,0.999933868259199,1.00211988588077,0.997026696645164,0.998843043001279,0.999781821287336,0.997551861212224,0.99796769259454,0.999809701911682
7,0.996594268466563,0.991231885404846,0.997283703559571,0.999994725158247,1.00163759172009,1.00270264426272,1.00183131698277,0.999743117813036,1.00240978894147,0.999375145475817
8,0.995646068359231,0.975319094294408,0.99801442262544,1.00084509331212,0.997807499619423,0.990530628518901,1.0019489036854,0.998595341188521,0.998136492526736,0.997879070024278
0,0.00859012304582411,0.0385500193210179,0.00993878297956785,0.0140461959540079,0.027033378331323,0.0177378051393237,0.0121922840258602,0.0264681042649072,0.0150574760766355,0.0136714118079398
1,0.0081188374974301,0.0339872067225201,0.00901764578494627,0.0114908411957918,0.0212780197821442,0.0158846768446568,0.0115628344111597,0.0276380014627484,0.00951298191647809,0.0109153826259356
2,0.00766108591284426,0.0469164596035943,0.012810884819128,0.0158325386208839,0.0264976336371204,0.0194154564526926,0.00926193596913705,0.0176066074386715,0.0123717696419494,0.01515188701509
3,0.00641030753850806,0.0475532843031759,0.0127398889414113,0.00859357924463514,0.0217150673952263,0.00736237468452495,0.0108958104867027,0.0261972967572855,0.010564006511078,0.0141735280496249
4,0.00928502514553311,0.0615988637368099,0.0112724650917273,0.00871715940045554,0.0177031253964617,0.0101770000911771,0.00780426431111139,0.0199167971839973,0.0137644372582558,0.010610874029461
5,0.00937409382744225,0.0682065436160445,0.0101828547746816,0.0114741410203898,0.0319306939433661,0.0214459281441945,0.0103340887624848,0.0244097642874109,0.0142607103653121,0.0105927516679577
6,0.00960314277183614,0.052710230699873,0.0106112623546548,0.0108334373970714,0.0236038246913916,0.0164605781993938,0.00992562906004345,0.0220870581872317,0.0129859756887785,0.0114871689877115
7,0.00959079390774162,0.0609165512802783,0.00929121714290524,0.0093081293796315,0.0217447775085386,0.023097246267678,0.0083677827893201,0.0125572898976957,0.00935724939958429,0.0146725165470838
8,0.00828283528900288,0.0703050586429586,0.00761251910923359,0.0124830310170557,0.024403088351547,0.00991128972755089,0.00827547876129942,0.0318307480445024,0.0141785866911233,0.0119441829738202
